name
2nd intermediate period  
3rd intermediate period  
abstract art  
abstract expressionism  
academicism  
action painting  
amarna  
american realism  
anachronism
analytical cubism  
analytical realism  
ancient egyptian art
ancient greek art 
archaic  
art brut  
art deco  
art informel  
art nouveau
art singulier  
automatic painting  
baroque  
biedermeier  
bunjinga
byzantine  
cartographic art  
chinese art 
classical  
classicism  
cloisonnism  
color field painting  
conceptual art  
concretism  
constructivism  
contemporary  
contemporary art 
contemporary realism  
costumbrismo  
cubism  
cubo-expressionism  
cubo-futurism  
cyber art  
dada  
digital art  
divisionism  
early byzantine
early christian  
early dynastic  
early renaissance  
environmental land art
excessivism  
existential art  
expressionism  
fantastic realism  
fantasy art  
fauvism  
feminist art  
fiber art  
figurative expressionism  
folk art  
futurism  
geometric  
gongbi  
gothic  
graffiti art  
hard edge painting  
hellenistic  
high renaissance  
hyper-mannerism
hyper-realism  
ilkhanid  
impressionism  
indian space painting  
ink and wash painting  
international gothic  
intimism  
islamic art 
japanese art 
japonism  
joseon dynasty  
junk art  
kanō school style  
kinetic art  
kitsch  
korean art 
land art
late byzantine/palaeologan renaissance
late period  
late renaissance
lettrism  
light and space  
lowbrow art  
luminism  
lyrical abstraction  
macedonian renaissance
magic realism  
mail art  
mannerism
maximalism  
mechanistic cubism  
medieval art 
metaphysical art  
middle byzantine
middle kingdom  
minimalism  
miserablism  
modern
modern art 
modernismo  
mosan art  
mozarabic  
mughal  
muralism  
nanga
nas-taliq  
native art 
naturalism  
naïve art
neo-baroque  
neo-byzantine  
neo-concretism  
neo-dada  
neo-expressionism  
neo-figurative art  
neo-geo  
neo-minimalism  
neo-orthodoxism  
neo-pop art  
neo-rococo  
neo-romanticism  
neo-suprematism  
neoclassicism  
neoplasticism  
new casualism  
new european painting  
new kingdom  
new medievialism  
new realism  
nihonga  
northern renaissance  
nouveau réalisme  
op art  
orientalism  
orphism  
ottoman period  
outsider art  
p&d
pattern and decoration
perceptism  
performance art  
photorealism  
pictorialism  
pointillism  
pop art  
post renaissance art 
post-classic
post-impressionism  
post-minimalism  
post-painterly abstraction  
poster art realism  
pre-columbian art 
precisionism  
primitivism
proto renaissance  
ptolemaic  
purism  
rayonism  
realism  
regionalism  
renaissance  
renaissance art 
rococo  
romanesque  
romanticism  
safavid period  
severe style  
shin-hanga  
site-specific art  
sky art  
social realism  
socialist realism  
sots art  
spatialism  
spectralism  
street art  
street photography  
stuckism  
suiboku-ga
sumi-e
superflat  
suprematism  
surrealism  
symbiotic art  
symbolism  
synchromism  
synthetic cubism  
synthetism  
sōsaku hanga  
tachisme  
tenebrism  
timurid period  
tonalism  
transautomatism  
transavantgarde  
tubism  
ukiyo-e  
verism  
viking art  
yamato-e  
yoruba
zen  
